t_location_id,t_storage_unit_id,t_start_datetime,t_qty,t_pure_qty
location_demo,2,2023-01-01T07:00:00,141.73,141.73
location_demo,2,2023-01-01T12:00:00,170.64,170.64
location_demo,2,2023-01-01T17:00:00,206.68,206.68
location_demo,2,2023-01-02T07:00:00,113.66,113.66
location_demo,2,2023-01-02T12:00:00,172.37,172.37
location_demo,2,2023-01-02T17:00:00,196.04,196.04
location_demo,2,2023-01-03T07:00:00,148.52,148.52
location_demo,2,2023-01-03T12:00:00,213.66,213.66
location_demo,2,2023-01-03T17:00:00,195.73,195.73
location_demo,2,2023-01-04T07:00:00,132.41,132.41
location_demo,2,2023-01-04T12:00:00,159.01,159.01
location_demo,2,2023-01-04T17:00:00,215.26,215.26
location_demo,2,2023-01-05T07:00:00,124.69,124.69
location_demo,2,2023-01-05T12:00:00,185.16,185.16
location_demo,2,2023-01-05T17:00:00,206.72,206.72
location_demo,2,2023-01-06T07:00:00,108.67,108.67
location_demo,2,2023-01-06T12:00:00,179.87,179.87
location_demo,2,2023-01-06T17:00:00,227.37,227.37
location_demo,2,2023-01-07T07:00:00,147.94,147.94
location_demo,2,2023-01-07T12:00:00,223.84,223.84
location_demo,2,2023-01-07T17:00:00,256.26,256.26
location_demo,2,2023-01-08T07:00:00,138.88,138.88
location_demo,2,2023-01-08T12:00:00,203.03,203.03
location_demo,2,2023-01-08T17:00:00,217.24,217.24
location_demo,2,2023-01-09T07:00:00,145.9,145.9
location_demo,2,2023-01-09T12:00:00,174.96,174.96
location_demo,2,2023-01-09T17:00:00,183.12,183.12
location_demo,2,2023-01-10T07:00:00,114.29,114.29
location_demo,2,2023-01-10T12:00:00,167.01,167.01
location_demo,2,2023-01-10T17:00:00,183.91,183.91
location_demo,2,2023-01-11T07:00:00,143.54,143.54
location_demo,2,2023-01-11T12:00:00,185.27,185.27
location_demo,2,2023-01-11T17:00:00,207.58,207.58
location_demo,2,2023-01-12T07:00:00,151.57,151.57
location_demo,2,2023-01-12T12:00:00,156.6,156.6
location_demo,2,2023-01-12T17:00:00,189.44,189.44
location_demo,2,2023-01-13T07:00:00,115.33,115.33
location_demo,2,2023-01-13T12:00:00,190.71,190.71
location_demo,2,2023-01-13T17:00:00,207.49,207.49
location_demo,2,2023-01-14T07:00:00,144.63,144.63
location_demo,2,2023-01-14T12:00:00,218.79,218.79
location_demo,2,2023-01-14T17:00:00,207.1,207.1
location_demo,2,2023-01-15T07:00:00,130.65,130.65
location_demo,2,2023-01-15T12:00:00,216.73,216.73
location_demo,2,2023-01-15T17:00:00,213.52,213.52
location_demo,2,2023-01-16T07:00:00,115.58,115.58
location_demo,2,2023-01-16T12:00:00,154.84,154.84
location_demo,2,2023-01-16T17:00:00,207.57,207.57
location_demo,2,2023-01-17T07:00:00,115.75,115.75
location_demo,2,2023-01-17T12:00:00,158.56,158.56
location_demo,2,2023-01-17T17:00:00,161.53,161.53
location_demo,2,2023-01-18T07:00:00,136.29,136.29
location_demo,2,2023-01-18T12:00:00,178.53,178.53
location_demo,2,2023-01-18T17:00:00,194.47,194.47
location_demo,2,2023-01-19T07:00:00,147.2,147.2
location_demo,2,2023-01-19T12:00:00,168.46,168.46
location_demo,2,2023-01-19T17:00:00,203.5,203.5
location_demo,2,2023-01-20T07:00:00,144.03,144.03
location_demo,2,2023-01-20T12:00:00,174.04,174.04
location_demo,2,2023-01-20T17:00:00,236.43,236.43
location_demo,2,2023-01-21T07:00:00,133.0,133.0
location_demo,2,2023-01-21T12:00:00,226.45,226.45
location_demo,2,2023-01-21T17:00:00,255.06,255.06
location_demo,2,2023-01-22T07:00:00,144.73,144.73
location_demo,2,2023-01-22T12:00:00,173.82,173.82
location_demo,2,2023-01-22T17:00:00,227.61,227.61
location_demo,2,2023-01-23T07:00:00,137.23,137.23
location_demo,2,2023-01-23T12:00:00,154.91,154.91
location_demo,2,2023-01-23T17:00:00,188.26,188.26
location_demo,2,2023-01-24T07:00:00,121.58,121.58
location_demo,2,2023-01-24T12:00:00,176.42,176.42
location_demo,2,2023-01-24T17:00:00,217.73,217.73
location_demo,2,2023-01-25T07:00:00,107.11,107.11
location_demo,2,2023-01-25T12:00:00,157.95,157.95
location_demo,2,2023-01-25T17:00:00,212.08,212.08
location_demo,2,2023-01-26T07:00:00,119.28,119.28
location_demo,2,2023-01-26T12:00:00,180.64,180.64
location_demo,2,2023-01-26T17:00:00,187.18,187.18
location_demo,2,2023-01-27T07:00:00,138.26,138.26
location_demo,2,2023-01-27T12:00:00,183.3,183.3
location_demo,2,2023-01-27T17:00:00,216.33,216.33
location_demo,2,2023-01-28T07:00:00,138.16,138.16
location_demo,2,2023-01-28T12:00:00,224.08,224.08
location_demo,2,2023-01-28T17:00:00,228.88,228.88
location_demo,2,2023-01-29T07:00:00,131.5,131.5
location_demo,2,2023-01-29T12:00:00,192.99,192.99
location_demo,2,2023-01-29T17:00:00,225.76,225.76
location_demo,2,2023-01-30T07:00:00,146.25,146.25
location_demo,2,2023-01-30T12:00:00,151.1,151.1
location_demo,2,2023-01-30T17:00:00,186.86,186.86
location_demo,2,2023-01-31T07:00:00,153.91,153.91
location_demo,2,2023-01-31T12:00:00,179.46,179.46
location_demo,2,2023-01-31T17:00:00,197.52,197.52
location_demo,2,2023-02-01T07:00:00,155.55,155.55
location_demo,2,2023-02-01T12:00:00,187.96,187.96
location_demo,2,2023-02-01T17:00:00,231.08,231.08
location_demo,2,2023-02-02T07:00:00,139.33,139.33
location_demo,2,2023-02-02T12:00:00,169.67,169.67
location_demo,2,2023-02-02T17:00:00,193.65,193.65
location_demo,2,2023-02-03T07:00:00,117.81,117.81
location_demo,2,2023-02-03T12:00:00,151.94,151.94
location_demo,2,2023-02-03T17:00:00,178.99,178.99
location_demo,2,2023-02-04T07:00:00,153.84,153.84
location_demo,2,2023-02-04T12:00:00,216.04,216.04
location_demo,2,2023-02-04T17:00:00,239.31,239.31
location_demo,2,2023-02-05T07:00:00,157.79,157.79
location_demo,2,2023-02-05T12:00:00,164.54,164.54
location_demo,2,2023-02-05T17:00:00,240.2,240.2
location_demo,2,2023-02-06T07:00:00,155.41,155.41
location_demo,2,2023-02-06T12:00:00,163.43,163.43
location_demo,2,2023-02-06T17:00:00,205.41,205.41
location_demo,2,2023-02-07T07:00:00,164.35,164.35
location_demo,2,2023-02-07T12:00:00,185.0,185.0
location_demo,2,2023-02-07T17:00:00,217.27,217.27
location_demo,2,2023-02-08T07:00:00,118.72,118.72
location_demo,2,2023-02-08T12:00:00,194.62,194.62
location_demo,2,2023-02-08T17:00:00,222.94,222.94
location_demo,2,2023-02-09T07:00:00,134.51,134.51
location_demo,2,2023-02-09T12:00:00,163.16,163.16
location_demo,2,2023-02-09T17:00:00,188.99,188.99
location_demo,2,2023-02-10T07:00:00,119.26,119.26
location_demo,2,2023-02-10T12:00:00,204.55,204.55
location_demo,2,2023-02-10T17:00:00,245.67,245.67
location_demo,2,2023-02-11T07:00:00,156.05,156.05
location_demo,2,2023-02-11T12:00:00,196.3,196.3
location_demo,2,2023-02-11T17:00:00,222.65,222.65
location_demo,2,2023-02-12T07:00:00,141.4,141.4
location_demo,2,2023-02-12T12:00:00,175.01,175.01
location_demo,2,2023-02-12T17:00:00,218.23,218.23
location_demo,2,2023-02-13T07:00:00,126.1,126.1
location_demo,2,2023-02-13T12:00:00,164.66,164.66
location_demo,2,2023-02-13T17:00:00,199.95,199.95
location_demo,2,2023-02-14T07:00:00,128.87,128.87
location_demo,2,2023-02-14T12:00:00,192.16,192.16
location_demo,2,2023-02-14T17:00:00,192.03,192.03
location_demo,2,2023-02-15T07:00:00,126.87,126.87
location_demo,2,2023-02-15T12:00:00,184.95,184.95
location_demo,2,2023-02-15T17:00:00,212.11,212.11
location_demo,2,2023-02-16T07:00:00,168.4,168.4
location_demo,2,2023-02-16T12:00:00,182.85,182.85
location_demo,2,2023-02-16T17:00:00,224.03,224.03
location_demo,2,2023-02-17T07:00:00,130.98,130.98
location_demo,2,2023-02-17T12:00:00,215.23,215.23
location_demo,2,2023-02-17T17:00:00,229.16,229.16
location_demo,2,2023-02-18T07:00:00,178.37,178.37
location_demo,2,2023-02-18T12:00:00,221.75,221.75
location_demo,2,2023-02-18T17:00:00,247.37,247.37
location_demo,2,2023-02-19T07:00:00,142.8,142.8
location_demo,2,2023-02-19T12:00:00,194.42,194.42
location_demo,2,2023-02-19T17:00:00,273.44,273.44
location_demo,2,2023-02-20T07:00:00,114.67,114.67
location_demo,2,2023-02-20T12:00:00,189.7,189.7
